listing_id,url,title,make,model,year,price_pkr,mileage_km,fuel_type,transmission,engine_cc,city,assembly,registered_in,seller_type,car_age,mileage_per_year,price_per_cc,is_imported,listing_province,registered_province,registered_matches_listing
11856586.0,https://www.pakwheels.com/used-cars/suzuki-alto-2020-for-sale-in-karachi-11856586,Suzuki Alto 2020 for sale in Karachi,Suzuki,Alto,2020,2475000.0,85321.0,Petrol,Automatic,660.0,Karachi,Local,Karachi,Dealer,6,14220.166666666666,3750.0,0.0,Sindh,Sindh,True
11683977.0,https://www.pakwheels.com/used-cars/hyundai-sonata-2023-for-sale-in-karachi-11683977,Hyundai Sonata 2023 for sale in Karachi,Hyundai,Sonata,2023,9200000.0,14595.0,Petrol,Automatic,2000.0,Karachi,Local,Karachi,Dealer,3,4865.0,4600.0,0.0,Sindh,Sindh,True
11849045.0,https://www.pakwheels.com/used-cars/honda-civic-2014-for-sale-in-karachi-11849045,Honda Civic 2014 for sale in Karachi,Honda,Civic,2014,3450000.0,10.0,Petrol,Automatic,1800.0,Karachi,Local,Sindh,Dealer,12,0.8333333333333334,1916.6666666666667,0.0,Sindh,Sindh,True
11763966.0,https://www.pakwheels.com/used-cars/suzuki-alto-2014-for-sale-in-karachi-11763966,Suzuki Alto 2014 for sale in Karachi,Suzuki,Alto,2014,2300000.0,137313.0,Petrol,Automatic,660.0,Karachi,Local,Sindh,Dealer,12,11442.75,3484.848484848485,0.0,Sindh,Sindh,True
11738521.0,https://www.pakwheels.com/used-cars/hyundai-tucson-2025-for-sale-in-karachi-11738521,Hyundai Tucson 2025 for sale in Karachi,Hyundai,Tucson,2025,11000000.0,7573.0,Hybrid,Automatic,1600.0,Karachi,Local,Sindh,Dealer,1,7573.0,6875.0,0.0,Sindh,Sindh,True
11740048.0,https://www.pakwheels.com/used-cars/suzuki-wagon-r-2018-for-sale-in-lahore-11740048,Suzuki Wagon R 2018 for sale in Lahore,Suzuki,Wagon R,2018,2200000.0,118106.0,Petrol,Manual,1000.0,Lahore,Local,Lahore,Dealer,8,14763.25,2200.0,0.0,Punjab,Punjab,True
11735539.0,https://www.pakwheels.com/used-cars/honda-civic-2019-for-sale-in-karachi-11735539,Honda Civic 2019 for sale in Karachi,Honda,Civic,2019,5540000.0,87156.0,Petrol,Automatic,1800.0,Karachi,Local,Karachi,Dealer,7,12450.857142857143,3077.777777777778,0.0,Sindh,Sindh,True
11734857.0,https://www.pakwheels.com/used-cars/honda-city-2022-for-sale-in-lahore-11734857,Honda City 2022 for sale in Lahore,Honda,City,2022,4500000.0,38998.0,Petrol,Automatic,1200.0,Lahore,Local,Punjab,Dealer,4,9749.5,3750.0,0.0,Punjab,Punjab,True
11685406.0,https://www.pakwheels.com/used-cars/toyota-corolla-2022-for-sale-in-karachi-11685406,Toyota Corolla 2022 for sale in Karachi,Toyota,Corolla,2022,5500000.0,67268.0,Petrol,Automatic,1600.0,Karachi,Local,Karachi,Dealer,4,16817.0,3437.5,0.0,Sindh,Sindh,True
11689837.0,https://www.pakwheels.com/used-cars/suzuki-spacia-2015-for-sale-in-lahore-11689837,Suzuki Spacia 2015 for sale in Lahore,Suzuki,Spacia,2015,2050000.0,127614.0,Hybrid,Automatic,660.0,Lahore,Imported,Lahore,Dealer,11,11601.272727272728,3106.060606060606,1.0,Punjab,Punjab,True
11666625.0,https://www.pakwheels.com/used-cars/kia-sportage-2024-for-sale-in-karachi-11666625,KIA Sportage 2024 for sale in Karachi,KIA,Sportage,2024,7100000.0,42899.0,Petrol,Automatic,2000.0,Karachi,Local,Karachi,Dealer,2,21449.5,3550.0,0.0,Sindh,Sindh,True
11856336.0,https://www.pakwheels.com/used-cars/honda-city-2011-for-sale-in-rawalpindi-11856336,Honda City 2011 for sale in Rawalpindi,Honda,City,2011,2950000.0,107000.0,Petrol,Manual,1300.0,Rawalpindi,Local,Islamabad,Dealer,15,7133.333333333333,2269.230769230769,0.0,Punjab,Islamabad,False
11870534.0,https://www.pakwheels.com/used-cars/suzuki-cultus-2017-for-sale-in-lahore-11870534,Suzuki Cultus 2017 for sale in Lahore,Suzuki,Cultus,2017,1870000.0,55000.0,Petrol,Manual,1000.0,Lahore,Local,Punjab,Dealer,9,6111.111111111111,1870.0,0.0,Punjab,Punjab,True
11870549.0,https://www.pakwheels.com/used-cars/honda-civic-2018-for-sale-in-farooqabad-11870549,Honda Civic 2018 for sale in Farooqabad,Honda,Civic,2018,4900000.0,150000.0,Petrol,Automatic,1800.0,Farooqabad,Local,Islamabad,Dealer,8,18750.0,2722.222222222222,0.0,Other,Islamabad,False
11629172.0,https://www.pakwheels.com/used-cars/toyota-corolla-2009-for-sale-in-lahore-11629172,Toyota Corolla 2009 for sale in Lahore,Toyota,Corolla,2009,2375000.0,141000.0,Petrol,Manual,1300.0,Lahore,Local,Punjab,Dealer,17,8294.117647058823,1826.923076923077,0.0,Punjab,Punjab,True
11857137.0,https://www.pakwheels.com/used-cars/honda-city-2018-for-sale-in-karachi-11857137,Honda City 2018 for sale in Karachi,Honda,City,2018,3590000.0,80000.0,Petrol,Automatic,1500.0,Karachi,Local,Karachi,Dealer,8,10000.0,2393.3333333333335,0.0,Sindh,Sindh,True
11870527.0,https://www.pakwheels.com/used-cars/honda-city-2013-for-sale-in-karachi-11870527,Honda City 2013 for sale in Karachi,Honda,City,2013,2840000.0,113000.0,Petrol,Automatic,1300.0,Karachi,Local,Sindh,Dealer,13,8692.307692307691,2184.6153846153848,0.0,Sindh,Sindh,True
11646222.0,https://www.pakwheels.com/used-cars/mercedes-benz-e-class-2011-for-sale-in-lahore-11646222,Mercedes Benz E Class 2011 for sale in Lahore,Mercedes Benz,E Class,2011,10000000.0,80138.0,Petrol,Automatic,1800.0,Lahore,Imported,Islamabad,Dealer,15,5342.533333333334,5555.555555555556,1.0,Punjab,Islamabad,False
11870545.0,https://www.pakwheels.com/used-cars/toyota-land-cruiser-2023-for-sale-in-lahore-11870545,Toyota Land Cruiser 2023 for sale in Lahore,Toyota,Land Cruiser,2023,62500000.0,14000.0,Petrol,Automatic,3500.0,Lahore,Local,Un-Registered,Dealer,3,4666.666666666667,17857.14285714286,0.0,Punjab,Other,
11645466.0,https://www.pakwheels.com/used-cars/daihatsu-move-2007-for-sale-in-karachi-11645466,Daihatsu Move 2007 for sale in Karachi,Daihatsu,Move,2007,1800000.0,134180.0,Petrol,Automatic,660.0,Karachi,Imported,Sindh,Dealer,19,7062.105263157895,2727.2727272727275,1.0,Sindh,Sindh,True
11616536.0,https://www.pakwheels.com/used-cars/suzuki-swift-2014-for-sale-in-karachi-11616536,Suzuki Swift 2014 for sale in Karachi,Suzuki,Swift,2014,2300000.0,100919.0,Petrol,Automatic,1300.0,Karachi,Local,Karachi,Dealer,12,8409.916666666666,1769.2307692307693,0.0,Sindh,Sindh,True
11870542.0,https://www.pakwheels.com/used-cars/toyota-prado-2021-for-sale-in-karachi-11870542,Toyota Prado 2021 for sale in Karachi,Toyota,Prado,2021,27100000.0,26000.0,Petrol,Automatic,2700.0,Karachi,Imported,Un-Registered,Dealer,5,5200.0,10037.037037037036,1.0,Sindh,Other,
11756710.0,https://www.pakwheels.com/used-cars/honda-city-2021-for-sale-in-karachi-11756710,Honda City 2021 for sale in Karachi,Honda,City,2021,4375000.0,53133.0,Petrol,Automatic,1500.0,Karachi,Local,Karachi,Dealer,5,10626.6,2916.6666666666665,0.0,Sindh,Sindh,True
11870516.0,https://www.pakwheels.com/used-cars/honda-civic-2020-for-sale-in-islamabad-11870516,Honda Civic 2020 for sale in Islamabad,Honda,Civic,2020,5945000.0,119580.0,Petrol,Automatic,1800.0,Islamabad,Local,Islamabad,Dealer,6,19930.0,3302.777777777778,0.0,Islamabad,Islamabad,True
11870543.0,https://www.pakwheels.com/used-cars/toyota-vitz-2010-for-sale-in-peshawar-11870543,Toyota Vitz 2010 for sale in Peshawar,Toyota,Vitz,2010,2380000.0,345000.0,Petrol,Automatic,1000.0,Peshawar,Imported,Punjab,Dealer,16,21562.5,2380.0,1.0,KPK,Punjab,False
11856547.0,https://www.pakwheels.com/used-cars/honda-civic-2014-for-sale-in-karachi-11856547,Honda Civic 2014 for sale in Karachi,Honda,Civic,2014,3575000.0,92321.0,Petrol,Automatic,1800.0,Karachi,Local,Karachi,Dealer,12,7693.416666666667,1986.111111111111,0.0,Sindh,Sindh,True
11870541.0,https://www.pakwheels.com/used-cars/hyundai-santa-fe-2023-for-sale-in-islamabad-11870541,Hyundai Santa Fe 2023 for sale in Islamabad,Hyundai,Santa Fe,2023,10800000.0,79000.0,Hybrid,Automatic,1600.0,Islamabad,Local,Islamabad,Dealer,3,26333.333333333332,6750.0,0.0,Islamabad,Islamabad,True
11870540.0,https://www.pakwheels.com/used-cars/toyota-land-cruiser-2022-for-sale-in-islamabad-11870540,Toyota Land Cruiser 2022 for sale in Islamabad,Toyota,Land Cruiser,2022,58500000.0,17000.0,Petrol,Automatic,3500.0,Islamabad,Imported,Un-Registered,Dealer,4,4250.0,16714.285714285714,1.0,Islamabad,Other,
11870536.0,https://www.pakwheels.com/used-cars/honda-city-2016-for-sale-in-lahore-11870536,Honda City 2016 for sale in Lahore,Honda,City,2016,3600000.0,10000.0,Petrol,Automatic,1300.0,Lahore,Local,Abbottabad,Dealer,10,1000.0,2769.230769230769,0.0,Punjab,KPK,False
11870467.0,https://www.pakwheels.com/used-cars/suzuki-alto-2021-for-sale-in-lahore-11870467,Suzuki Alto 2021 for sale in Lahore,Suzuki,Alto,2021,2250000.0,60000.0,Petrol,Manual,660.0,Lahore,Local,Punjab,Dealer,5,12000.0,3409.090909090909,0.0,Punjab,Punjab,True
11733042.0,https://www.pakwheels.com/used-cars/toyota-hilux-2012-for-sale-in-karachi-11733042,Toyota Hilux 2012 for sale in Karachi,Toyota,Hilux,2012,5500000.0,137789.0,Diesel,Automatic,2500.0,Karachi,Local,Karachi,Dealer,14,9842.07142857143,2200.0,0.0,Sindh,Sindh,True
11870537.0,https://www.pakwheels.com/used-cars/toyota-aqua-2016-for-sale-in-islamabad-11870537,Toyota Aqua 2016 for sale in Islamabad,Toyota,Aqua,2016,3990000.0,150000.0,Hybrid,Automatic,1500.0,Islamabad,Imported,Islamabad,Dealer,10,15000.0,2660.0,1.0,Islamabad,Islamabad,True
11733130.0,https://www.pakwheels.com/used-cars/byd-seal-2025-for-sale-in-karachi-11733130,BYD Seal 2025 for sale in Karachi,BYD,Seal,2025,13400000.0,10809.0,Electric,Automatic,,Karachi,Local,Karachi,Dealer,1,10809.0,,0.0,Sindh,Sindh,True
11705930.0,https://www.pakwheels.com/used-cars/toyota-corolla-2019-for-sale-in-karachi-11705930,Toyota Corolla 2019 for sale in Karachi,Toyota,Corolla,2019,4275000.0,92153.0,Petrol,Automatic,1300.0,Karachi,Local,Sindh,Dealer,7,13164.714285714286,3288.4615384615386,0.0,Sindh,Sindh,True
11870533.0,https://www.pakwheels.com/used-cars/suzuki-khyber-2000-for-sale-in-rawalpindi-11870533,Suzuki Khyber 2000 for sale in Rawalpindi,Suzuki,Khyber,2000,680000.0,1.0,Petrol,Manual,1000.0,Rawalpindi,Imported,Punjab,Dealer,26,0.038461538461538464,680.0,1.0,Punjab,Punjab,True
11726305.0,https://www.pakwheels.com/used-cars/deepal-s05-2026-for-sale-in-karachi-11726305,Deepal S05 2026 for sale in Karachi,Deepal,S05,2026,10600000.0,6622.0,REEV,Automatic,1500.0,Karachi,Local,Sindh,Dealer,0,6622.0,7066.666666666667,0.0,Sindh,Sindh,True
11870526.0,https://www.pakwheels.com/used-cars/toyota-prado-2021-for-sale-in-karachi-11870526,Toyota Prado 2021 for sale in Karachi,Toyota,Prado,2021,25900000.0,40000.0,Petrol,Automatic,2700.0,Karachi,Imported,Un-Registered,Dealer,5,8000.0,9592.592592592593,1.0,Sindh,Other,
11771194.0,https://www.pakwheels.com/used-cars/toyota-aqua-2018-for-sale-in-karachi-11771194,Toyota Aqua 2018 for sale in Karachi,Toyota,Aqua,2018,5195000.0,71369.0,Hybrid,Automatic,1500.0,Karachi,Imported,Sindh,Dealer,8,8921.125,3463.3333333333335,1.0,Sindh,Sindh,True
11870531.0,https://www.pakwheels.com/used-cars/toyota-corolla-2005-for-sale-in-islamabad-11870531,Toyota Corolla 2005 for sale in Islamabad,Toyota,Corolla,2005,1850000.0,300000.0,Petrol,Manual,1300.0,Islamabad,Local,Punjab,Dealer,21,14285.714285714286,1423.076923076923,0.0,Islamabad,Punjab,False
11870530.0,https://www.pakwheels.com/used-cars/suzuki-mehran-2003-for-sale-in-lahore-11870530,Suzuki Mehran 2003 for sale in Lahore,Suzuki,Mehran,2003,500000.0,796.0,Petrol,Manual,800.0,Lahore,Local,Sindh,Dealer,23,34.608695652173914,625.0,0.0,Punjab,Sindh,False
11870529.0,https://www.pakwheels.com/used-cars/suzuki-cultus-2010-for-sale-in-rawalpindi-11870529,Suzuki Cultus 2010 for sale in Rawalpindi,Suzuki,Cultus,2010,1300000.0,27950.0,Petrol,Manual,1000.0,Rawalpindi,Local,Punjab,Dealer,16,1746.875,1300.0,0.0,Punjab,Punjab,True
11870212.0,https://www.pakwheels.com/used-cars/toyota-belta-2006-for-sale-in-lahore-11870212,Toyota Belta 2006 for sale in Lahore,Toyota,Belta,2006,2195000.0,90000.0,Petrol,Automatic,1000.0,Lahore,Imported,Sindh,Dealer,20,4500.0,2195.0,1.0,Punjab,Sindh,False
11688937.0,https://www.pakwheels.com/used-cars/toyota-prado-2011-for-sale-in-karachi-11688937,Toyota Prado 2011 for sale in Karachi,Toyota,Prado,2011,13200000.0,107426.0,Petrol,Automatic,2700.0,Karachi,Imported,Karachi,Dealer,15,7161.733333333334,4888.888888888889,1.0,Sindh,Sindh,True
11822683.0,https://www.pakwheels.com/used-cars/toyota-prius-2014-for-sale-in-lahore-11822683,Toyota Prius 2014 for sale in Lahore,Toyota,Prius,2014,4650000.0,210000.0,Hybrid,Automatic,1800.0,Lahore,Imported,Islamabad,Dealer,12,17500.0,2583.3333333333335,1.0,Punjab,Islamabad,False
11870524.0,https://www.pakwheels.com/used-cars/nissan-ad-van-2006-for-sale-in-attock-11870524,Nissan AD Van 2006 for sale in Attock,Nissan,AD Van,2006,1800000.0,170000.0,CNG,Automatic,1300.0,Attock,Imported,Sindh,Dealer,20,8500.0,1384.6153846153845,1.0,Other,Sindh,False
11870528.0,https://www.pakwheels.com/used-cars/land-rover-defender-2006-for-sale-in-rawalpindi-11870528,Land Rover Defender 2006 for sale in Rawalpindi,Land Rover,Defender,2006,3000000.0,100000.0,Diesel,Manual,2200.0,Rawalpindi,Imported,Punjab,Dealer,20,5000.0,1363.6363636363637,1.0,Punjab,Punjab,True
11831181.0,https://www.pakwheels.com/used-cars/toyota-aqua-2017-for-sale-in-lahore-11831181,Toyota Aqua 2017 for sale in Lahore,Toyota,Aqua,2017,4600000.0,119900.0,Hybrid,Automatic,1500.0,Lahore,Imported,Punjab,Dealer,9,13322.222222222223,3066.6666666666665,1.0,Punjab,Punjab,True
11858986.0,https://www.pakwheels.com/used-cars/daihatsu-mira-2018-for-sale-in-lahore-11858986,Daihatsu Mira 2018 for sale in Lahore,Daihatsu,Mira,2018,3000000.0,65700.0,Petrol,Automatic,660.0,Lahore,Imported,Punjab,Dealer,8,8212.5,4545.454545454545,1.0,Punjab,Punjab,True
11590018.0,https://www.pakwheels.com/used-cars/mitsubishi-ek-wagon-2019-for-sale-in-lahore-11590018,Mitsubishi Ek Wagon 2019 for sale in Lahore,Mitsubishi,Ek Wagon,2019,3095000.0,75200.0,Petrol,Automatic,660.0,Lahore,Imported,Lahore,Dealer,7,10742.857142857143,4689.393939393939,1.0,Punjab,Punjab,True
11870519.0,https://www.pakwheels.com/used-cars/daihatsu-mira-2014-for-sale-in-lahore-11870519,Daihatsu Mira 2014 for sale in Lahore,Daihatsu,Mira,2014,2700000.0,126000.0,Petrol,Automatic,660.0,Lahore,Imported,Lahore,Dealer,12,10500.0,4090.909090909091,1.0,Punjab,Punjab,True
11751584.0,https://www.pakwheels.com/used-cars/toyota-yaris-hatchback-2021-for-sale-in-karachi-11751584,Toyota Yaris Hatchback 2021 for sale in Karachi,Toyota,Yaris Hatchback,2021,4200000.0,106406.0,Petrol,Automatic,1000.0,Karachi,Imported,Karachi,Dealer,5,21281.2,4200.0,1.0,Sindh,Sindh,True
11870520.0,https://www.pakwheels.com/used-cars/toyota-corolla-2019-for-sale-in-islamabad-11870520,Toyota Corolla 2019 for sale in Islamabad,Toyota,Corolla,2019,4800000.0,126000.0,Petrol,Automatic,1300.0,Islamabad,Local,Islamabad,Dealer,7,18000.0,3692.3076923076924,0.0,Islamabad,Islamabad,True
11870517.0,https://www.pakwheels.com/used-cars/honda-civic-2026-for-sale-in-lahore-11870517,Honda Civic 2026 for sale in Lahore,Honda,Civic,2026,9900000.0,7000.0,Petrol,Automatic,1500.0,Lahore,Local,Punjab,Dealer,0,7000.0,6600.0,0.0,Punjab,Punjab,True
11870518.0,https://www.pakwheels.com/used-cars/honda-city-2015-for-sale-in-islamabad-11870518,Honda City 2015 for sale in Islamabad,Honda,City,2015,3725000.0,117000.0,Petrol,Automatic,1500.0,Islamabad,Local,Islamabad,Dealer,11,10636.363636363636,2483.3333333333335,0.0,Islamabad,Islamabad,True
11524798.0,https://www.pakwheels.com/used-cars/toyota-fortuner-2013-for-sale-in-karachi-11524798,Toyota Fortuner 2013 for sale in Karachi,Toyota,Fortuner,2013,6000000.0,111199.0,Petrol,Automatic,2700.0,Karachi,Local,Karachi,Dealer,13,8553.76923076923,2222.222222222222,0.0,Sindh,Sindh,True
11870515.0,https://www.pakwheels.com/used-cars/toyota-prado-2021-for-sale-in-karachi-11870515,Toyota Prado 2021 for sale in Karachi,Toyota,Prado,2021,27000000.0,30000.0,Petrol,Automatic,2700.0,Karachi,Imported,Un-Registered,Dealer,5,6000.0,10000.0,1.0,Sindh,Other,
11870514.0,https://www.pakwheels.com/used-cars/suzuki-alto-2025-for-sale-in-karachi-11870514,Suzuki Alto 2025 for sale in Karachi,Suzuki,Alto,2025,3250000.0,34000.0,Petrol,Automatic,660.0,Karachi,Local,Karachi,Dealer,1,34000.0,4924.242424242424,0.0,Sindh,Sindh,True
11870513.0,https://www.pakwheels.com/used-cars/toyota-yaris-sedan-2021-for-sale-in-lahore-11870513,Toyota Yaris Sedan 2021 for sale in Lahore,Toyota,Yaris Sedan,2021,3900000.0,53000.0,Petrol,Automatic,1300.0,Lahore,Local,Punjab,Dealer,5,10600.0,3000.0,0.0,Punjab,Punjab,True
11748290.0,https://www.pakwheels.com/used-cars/audi-e-tron-gt-2022-for-sale-in-islamabad-11748290,Audi e-tron GT 2022 for sale in Islamabad,Audi,e-tron GT,2022,27500000.0,42000.0,Electric,Automatic,,Islamabad,Imported,Islamabad,Dealer,4,10500.0,,1.0,Islamabad,Islamabad,True
11870512.0,https://www.pakwheels.com/used-cars/honda-city-2020-for-sale-in-lahore-11870512,Honda City 2020 for sale in Lahore,Honda,City,2020,3890000.0,98500.0,Petrol,Manual,1300.0,Lahore,Local,Lahore,Dealer,6,16416.666666666668,2992.3076923076924,0.0,Punjab,Punjab,True
11870507.0,https://www.pakwheels.com/used-cars/honda-civic-2015-for-sale-in-karachi-11870507,Honda Civic 2015 for sale in Karachi,Honda,Civic,2015,3900000.0,112100.0,Petrol,Automatic,1800.0,Karachi,Local,Karachi,Dealer,11,10190.90909090909,2166.6666666666665,0.0,Sindh,Sindh,True
11870511.0,https://www.pakwheels.com/used-cars/suzuki-swift-2022-for-sale-in-karachi-11870511,Suzuki Swift 2022 for sale in Karachi,Suzuki,Swift,2022,4450000.0,44796.0,Petrol,Automatic,1200.0,Karachi,Local,Karachi,Dealer,4,11199.0,3708.3333333333335,0.0,Sindh,Sindh,True
11719453.0,https://www.pakwheels.com/used-cars/toyota-raize-2020-for-sale-in-karachi-11719453,Toyota Raize 2020 for sale in Karachi,Toyota,Raize,2020,6000000.0,44275.0,Petrol,Automatic,1000.0,Karachi,Imported,Karachi,Dealer,6,7379.166666666667,6000.0,1.0,Sindh,Sindh,True
11864307.0,https://www.pakwheels.com/used-cars/honda-civic-2001-for-sale-in-karachi-11864307,Honda Civic 2001 for sale in Karachi,Honda,Civic,2001,1450000.0,156000.0,Petrol,Automatic,1600.0,Karachi,Local,Sindh,Dealer,25,6240.0,906.25,0.0,Sindh,Sindh,True
11724312.0,https://www.pakwheels.com/used-cars/toyota-corolla-1994-for-sale-in-peshawar-11724312,Toyota Corolla 1994 for sale in Peshawar,Toyota,Corolla,1994,2000000.0,260000.0,CNG,Manual,1500.0,Peshawar,Local,Peshawar,Dealer,32,8125.0,1333.3333333333333,0.0,KPK,KPK,True
11846456.0,https://www.pakwheels.com/used-cars/nissan-clipper-2016-for-sale-in-lahore-11846456,Nissan Clipper 2016 for sale in Lahore,Nissan,Clipper,2016,2350000.0,100605.0,Petrol,Automatic,660.0,Lahore,Imported,Punjab,Dealer,10,10060.5,3560.6060606060605,1.0,Punjab,Punjab,True
11851084.0,https://www.pakwheels.com/used-cars/honda-civic-2018-for-sale-in-islamabad-11851084,Honda Civic 2018 for sale in Islamabad,Honda,Civic,2018,5475000.0,66000.0,Petrol,Automatic,1800.0,Islamabad,Local,Islamabad,Dealer,8,8250.0,3041.6666666666665,0.0,Islamabad,Islamabad,True
11870500.0,https://www.pakwheels.com/used-cars/suzuki-cultus-2018-for-sale-in-sialkot-11870500,Suzuki Cultus 2018 for sale in Sialkot,Suzuki,Cultus,2018,2550000.0,91000.0,Petrol,Manual,1000.0,Sialkot,Local,Punjab,Dealer,8,11375.0,2550.0,0.0,Punjab,Punjab,True
11870494.0,https://www.pakwheels.com/used-cars/toyota-corolla-2011-for-sale-in-islamabad-11870494,Toyota Corolla 2011 for sale in Islamabad,Toyota,Corolla,2011,3390000.0,120000.0,Petrol,Automatic,1800.0,Islamabad,Local,Islamabad,Dealer,15,8000.0,1883.3333333333333,0.0,Islamabad,Islamabad,True
11870503.0,https://www.pakwheels.com/used-cars/daihatsu-cuore-2008-for-sale-in-karachi-11870503,Daihatsu Cuore 2008 for sale in Karachi,Daihatsu,Cuore,2008,850000.0,125633.0,Petrol,Manual,800.0,Karachi,Local,Karachi,Dealer,18,6979.611111111111,1062.5,0.0,Sindh,Sindh,True
11870493.0,https://www.pakwheels.com/used-cars/toyota-vitz-2015-for-sale-in-peshawar-11870493,Toyota Vitz 2015 for sale in Peshawar,Toyota,Vitz,2015,3150000.0,180000.0,Petrol,Automatic,1000.0,Peshawar,Imported,Lahore,Dealer,11,16363.636363636364,3150.0,1.0,KPK,Punjab,False
11870502.0,https://www.pakwheels.com/used-cars/toyota-prado-2021-for-sale-in-karachi-11870502,Toyota Prado 2021 for sale in Karachi,Toyota,Prado,2021,28000000.0,25000.0,Petrol,Automatic,2700.0,Karachi,Imported,Un-Registered,Dealer,5,5000.0,10370.37037037037,1.0,Sindh,Other,
11489176.0,https://www.pakwheels.com/used-cars/honda-city-2009-for-sale-in-hyderabad-11489176,Honda City 2009 for sale in Hyderabad,Honda,City,2009,2350000.0,131000.0,Petrol,Automatic,1300.0,Hyderabad,Local,Karachi,Dealer,17,7705.882352941177,1807.6923076923076,0.0,Sindh,Sindh,True
11870499.0,https://www.pakwheels.com/used-cars/honda-city-2018-for-sale-in-gujranwala-11870499,Honda City 2018 for sale in Gujranwala,Honda,City,2018,4000000.0,85000.0,Petrol,Automatic,1500.0,Gujranwala,Local,Punjab,Dealer,8,10625.0,2666.6666666666665,0.0,Punjab,Punjab,True
11870490.0,https://www.pakwheels.com/used-cars/mitsubishi-lancer-2004-for-sale-in-islamabad-11870490,Mitsubishi Lancer 2004 for sale in Islamabad,Mitsubishi,Lancer,2004,1550000.0,203500.0,Petrol,Manual,1600.0,Islamabad,Local,Islamabad,Dealer,22,9250.0,968.75,0.0,Islamabad,Islamabad,True
11870496.0,https://www.pakwheels.com/used-cars/suzuki-cultus-2017-for-sale-in-kot-addu-11870496,Suzuki Cultus 2017 for sale in Kot addu,Suzuki,Cultus,2017,1870000.0,81000.0,Petrol,Manual,1000.0,Kot addu,Local,Punjab,Dealer,9,9000.0,1870.0,0.0,Other,Punjab,False
11870310.0,https://www.pakwheels.com/used-cars/honda-br-v-2017-for-sale-in-lahore-11870310,Honda BR-V 2017 for sale in Lahore,Honda,BR-V,2017,3595000.0,88000.0,Petrol,Automatic,1500.0,Lahore,Local,Punjab,Dealer,9,9777.777777777777,2396.6666666666665,0.0,Punjab,Punjab,True
11866922.0,https://www.pakwheels.com/used-cars/honda-civic-2020-for-sale-in-lahore-11866922,Honda Civic 2020 for sale in Lahore,Honda,Civic,2020,7500000.0,71500.0,Petrol,Automatic,1500.0,Lahore,Local,Islamabad,Dealer,6,11916.666666666666,5000.0,0.0,Punjab,Islamabad,False
11849147.0,https://www.pakwheels.com/used-cars/honda-city-2022-for-sale-in-lahore-11849147,Honda City 2022 for sale in Lahore,Honda,City,2022,5100000.0,23332.0,Petrol,Automatic,1500.0,Lahore,Local,Punjab,Dealer,4,5833.0,3400.0,0.0,Punjab,Punjab,True
11870477.0,https://www.pakwheels.com/used-cars/audi-a5-2020-for-sale-in-karachi-11870477,Audi A5 2020 for sale in Karachi,Audi,A5,2020,17000000.0,34500.0,Petrol,Automatic,1400.0,Karachi,Imported,Karachi,Dealer,6,5750.0,12142.857142857143,1.0,Sindh,Sindh,True
11842260.0,https://www.pakwheels.com/used-cars/jaecoo-j7-2026-for-sale-in-lahore-11842260,Jaecoo J7 2026 for sale in Lahore,Jaecoo,J7,2026,10700000.0,5202.0,PHEV,Automatic,1500.0,Lahore,Local,Punjab,Dealer,0,5202.0,7133.333333333333,0.0,Punjab,Punjab,True
11849095.0,https://www.pakwheels.com/used-cars/suzuki-mehran-2015-for-sale-in-islamabad-11849095,Suzuki Mehran 2015 for sale in Islamabad,Suzuki,Mehran,2015,1300000.0,64222.0,Petrol,Manual,796.0,Islamabad,Local,Sindh,Dealer,11,5838.363636363636,1633.1658291457286,0.0,Islamabad,Sindh,False
11867266.0,https://www.pakwheels.com/used-cars/honda-vezel-2016-for-sale-in-islamabad-11867266,Honda Vezel 2016 for sale in Islamabad,Honda,Vezel,2016,5600000.0,135000.0,Hybrid,Automatic,1500.0,Islamabad,Imported,Islamabad,Dealer,10,13500.0,3733.3333333333335,1.0,Islamabad,Islamabad,True
11870489.0,https://www.pakwheels.com/used-cars/suzuki-wagon-r-2016-for-sale-in-lahore-11870489,Suzuki Wagon R 2016 for sale in Lahore,Suzuki,Wagon R,2016,2390000.0,145000.0,Petrol,Manual,1000.0,Lahore,Local,Punjab,Dealer,10,14500.0,2390.0,0.0,Punjab,Punjab,True
11870492.0,https://www.pakwheels.com/used-cars/suzuki-mehran-1991-for-sale-in-sargodha-11870492,Suzuki Mehran 1991 for sale in Sargodha,Suzuki,Mehran,1991,459000.0,20000.0,Petrol,Manual,800.0,Sargodha,Local,Sargodha,Dealer,35,571.4285714285714,573.75,0.0,Punjab,Punjab,True
11870491.0,https://www.pakwheels.com/used-cars/suzuki-mehran-2009-for-sale-in-okara-11870491,Suzuki Mehran 2009 for sale in Okara,Suzuki,Mehran,2009,790000.0,1.0,Petrol,Manual,800.0,Okara,Local,Abbottabad,Dealer,17,0.058823529411764705,987.5,0.0,Punjab,KPK,False
11569323.0,https://www.pakwheels.com/used-cars/toyota-corolla-2016-for-sale-in-karachi-11569323,Toyota Corolla 2016 for sale in Karachi,Toyota,Corolla,2016,3750000.0,125041.0,Petrol,Automatic,1300.0,Karachi,Local,Sindh,Dealer,10,12504.1,2884.6153846153848,0.0,Sindh,Sindh,True
